Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC,EC Abs,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L]
11/17/2021 12:07:06 p. m.,2021/11/17,12:07:06 p. m.,16.33,5.7,90.5,238.3,647,540,1.5,0.324,0.32,0,10.887,65.2,4.7
11/17/2021 12:07:11 p. m.,2021/11/17,12:07:11 p. m.,16.33,5.7,90.5,238.3,647,540,1.5,0.323,0.32,0,10.885,65.1,4.69
11/17/2021 12:07:16 p. m.,2021/11/17,12:07:16 p. m.,16.34,5.7,90.5,238.3,647,540,1.5,0.323,0.32,0,10.885,64.9,4.67
11/17/2021 12:07:21 p. m.,2021/11/17,12:07:21 p. m.,16.34,5.7,90.5,238.3,647,540,1.5,0.323,0.32,0,10.886,64.5,4.64
11/17/2021 12:07:26 p. m.,2021/11/17,12:07:26 p. m.,16.34,5.7,90.5,238.2,647,541,1.5,0.324,0.32,0,10.887,64.1,4.62
11/17/2021 12:07:31 p. m.,2021/11/17,12:07:31 p. m.,16.34,5.7,90.5,238.2,647,541,1.5,0.324,0.32,0,10.886,64,4.6
11/17/2021 12:07:36 p. m.,2021/11/17,12:07:36 p. m.,16.34,5.7,90.5,238.2,647,540,1.5,0.323,0.32,0,10.887,63.9,4.59
11/17/2021 12:07:41 p. m.,2021/11/17,12:07:41 p. m.,16.34,5.7,90.5,238.2,647,541,1.5,0.324,0.32,0,10.884,63.7,4.58
11/17/2021 12:07:46 p. m.,2021/11/17,12:07:46 p. m.,16.34,5.7,90.7,238.2,647,541,1.5,0.324,0.32,0,10.884,63.3,4.55
11/17/2021 12:07:51 p. m.,2021/11/17,12:07:51 p. m.,16.34,5.7,90.5,238.2,647,541,1.5,0.324,0.32,0,10.882,63.1,4.54
11/17/2021 12:07:56 p. m.,2021/11/17,12:07:56 p. m.,16.34,5.7,90.5,238.2,647,541,1.5,0.323,0.32,0,10.882,63.3,4.55
11/17/2021 12:08:01 p. m.,2021/11/17,12:08:01 p. m.,16.34,5.7,90.6,238.2,647,540,1.5,0.323,0.32,0,10.882,63.2,4.55
