Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC uS/cm,EC Abs uS/cm,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L],
11/22/2021 12:16:44 p. m.,2021/11/22,12:16:44 p. m.,14.18,4.85,135.3,308.3,697,554,1.4,0.348,0.34,0.0,10.803,55.1,4.12,
11/22/2021 12:16:49 p. m.,2021/11/22,12:16:49 p. m.,14.18,4.85,135.3,308.3,696,553,1.4,0.348,0.34,0.0,10.801,55.2,4.13,
11/22/2021 12:16:54 p. m.,2021/11/22,12:16:54 p. m.,14.18,4.85,135.3,308.4,696,553,1.4,0.348,0.34,0.0,10.801,55.2,4.13,
11/22/2021 12:16:59 p. m.,2021/11/22,12:16:59 p. m.,14.18,4.85,135.3,308.4,696,553,1.4,0.348,0.34,0.0,10.800,55.1,4.12,
11/22/2021 12:17:04 p. m.,2021/11/22,12:17:04 p. m.,14.18,4.85,135.3,308.4,696,553,1.4,0.348,0.34,0.0,10.803,55.0,4.12,
11/22/2021 12:17:09 p. m.,2021/11/22,12:17:09 p. m.,14.18,4.85,135.3,308.4,695,552,1.4,0.348,0.34,0.0,10.802,54.9,4.11,
11/22/2021 12:17:14 p. m.,2021/11/22,12:17:14 p. m.,14.18,4.85,135.3,308.4,695,552,1.4,0.348,0.34,0.0,10.804,54.9,4.11,
11/22/2021 12:17:19 p. m.,2021/11/22,12:17:19 p. m.,14.18,4.85,135.3,308.4,695,552,1.4,0.348,0.34,0.0,10.803,54.8,4.10,
11/22/2021 12:17:24 p. m.,2021/11/22,12:17:24 p. m.,14.18,4.85,135.3,308.3,695,552,1.4,0.347,0.34,0.0,10.805,54.7,4.09,
11/22/2021 12:17:29 p. m.,2021/11/22,12:17:29 p. m.,14.18,4.85,135.3,308.3,695,552,1.4,0.347,0.34,0.0,10.804,54.5,4.08,
11/22/2021 12:17:34 p. m.,2021/11/22,12:17:34 p. m.,14.18,4.85,135.2,308.3,694,552,1.4,0.347,0.34,0.0,10.802,54.2,4.06,
11/22/2021 12:17:39 p. m.,2021/11/22,12:17:39 p. m.,14.18,4.85,135.4,308.4,694,552,1.4,0.347,0.34,0.0,10.802,54.2,4.05,
11/22/2021 12:17:44 p. m.,2021/11/22,12:17:44 p. m.,14.18,4.85,135.3,308.4,694,551,1.4,0.347,0.34,0.0,10.802,54.4,4.07,
11/22/2021 12:17:49 p. m.,2021/11/22,12:17:49 p. m.,14.18,4.85,135.3,308.4,694,551,1.4,0.347,0.34,0.0,10.802,54.5,4.08,
11/22/2021 12:17:54 p. m.,2021/11/22,12:17:54 p. m.,14.19,4.85,135.4,308.4,694,551,1.4,0.347,0.34,0.0,10.802,54.6,4.09,
11/22/2021 12:17:59 p. m.,2021/11/22,12:17:59 p. m.,14.19,4.85,135.4,308.4,693,551,1.4,0.347,0.34,0.0,10.803,54.7,4.09,
11/22/2021 12:18:04 p. m.,2021/11/22,12:18:04 p. m.,14.19,4.85,135.4,308.4,693,551,1.4,0.347,0.34,0.0,10.802,54.7,4.09,
11/22/2021 12:18:09 p. m.,2021/11/22,12:18:09 p. m.,14.19,4.84,135.4,308.4,693,551,1.4,0.347,0.34,0.0,10.802,54.8,4.10,
11/22/2021 12:18:14 p. m.,2021/11/22,12:18:14 p. m.,14.19,4.85,135.4,308.4,693,551,1.4,0.347,0.34,0.0,10.804,54.9,4.11,
11/22/2021 12:18:19 p. m.,2021/11/22,12:18:19 p. m.,14.19,4.85,135.4,308.4,693,551,1.4,0.347,0.34,0.0,10.802,55.0,4.11,
11/22/2021 12:18:24 p. m.,2021/11/22,12:18:24 p. m.,14.19,4.85,135.4,308.4,693,551,1.4,0.347,0.34,0.0,10.801,55.0,4.11,
11/22/2021 12:18:29 p. m.,2021/11/22,12:18:29 p. m.,14.19,4.85,135.4,308.4,693,551,1.4,0.346,0.34,0.0,10.801,54.9,4.11,
11/22/2021 12:18:34 p. m.,2021/11/22,12:18:34 p. m.,14.19,4.85,135.4,308.4,693,550,1.4,0.346,0.34,0.0,10.802,55.0,4.11,
11/22/2021 12:18:39 p. m.,2021/11/22,12:18:39 p. m.,14.19,4.85,135.3,308.4,693,550,1.4,0.346,0.34,0.0,10.802,55.1,4.12,
11/22/2021 12:18:44 p. m.,2021/11/22,12:18:44 p. m.,14.19,4.85,135.4,308.4,693,550,1.4,0.346,0.34,0.0,10.803,55.2,4.13,
11/22/2021 12:18:49 p. m.,2021/11/22,12:18:49 p. m.,14.19,4.85,135.3,308.4,692,550,1.4,0.346,0.34,0.0,10.801,55.4,4.14,
11/22/2021 12:18:54 p. m.,2021/11/22,12:18:54 p. m.,14.19,4.85,135.3,308.4,692,550,1.4,0.346,0.34,0.0,10.802,55.5,4.15,
11/22/2021 12:18:59 p. m.,2021/11/22,12:18:59 p. m.,14.19,4.85,135.3,308.4,692,550,1.4,0.346,0.34,0.0,10.801,55.5,4.15,
11/22/2021 12:19:04 p. m.,2021/11/22,12:19:04 p. m.,14.19,4.85,135.4,308.4,692,550,1.4,0.346,0.34,0.0,10.802,55.5,4.15,
11/22/2021 12:19:09 p. m.,2021/11/22,12:19:09 p. m.,14.19,4.85,135.4,308.4,692,550,1.4,0.346,0.34,0.0,10.800,55.6,4.15,
11/22/2021 12:19:14 p. m.,2021/11/22,12:19:14 p. m.,14.19,4.85,135.3,308.4,692,550,1.4,0.346,0.34,0.0,10.801,55.6,4.15,
11/22/2021 12:19:19 p. m.,2021/11/22,12:19:19 p. m.,14.19,4.85,135.3,308.4,692,550,1.4,0.346,0.34,0.0,10.801,55.6,4.15,
11/22/2021 12:19:24 p. m.,2021/11/22,12:19:24 p. m.,14.19,4.85,135.3,308.3,692,550,1.4,0.346,0.34,0.0,10.801,55.5,4.15,
11/22/2021 12:19:29 p. m.,2021/11/22,12:19:29 p. m.,14.19,4.85,135.3,308.3,692,550,1.4,0.346,0.34,0.0,10.800,55.4,4.14,
11/22/2021 12:19:34 p. m.,2021/11/22,12:19:34 p. m.,14.19,4.85,135.3,308.3,692,550,1.4,0.346,0.34,0.0,10.803,55.3,4.14,
11/22/2021 12:19:39 p. m.,2021/11/22,12:19:39 p. m.,14.19,4.85,135.3,308.3,692,550,1.4,0.346,0.34,0.0,10.800,55.2,4.13,
11/22/2021 12:19:44 p. m.,2021/11/22,12:19:44 p. m.,14.19,4.85,135.3,308.3,692,550,1.4,0.346,0.34,0.0,10.802,55.1,4.12,
11/22/2021 12:19:49 p. m.,2021/11/22,12:19:49 p. m.,14.19,4.85,135.3,308.3,691,550,1.4,0.346,0.34,0.0,10.802,55.1,4.12,
11/22/2021 12:19:54 p. m.,2021/11/22,12:19:54 p. m.,14.19,4.85,135.3,308.3,691,550,1.4,0.346,0.34,0.0,10.801,55.0,4.12,
11/22/2021 12:19:59 p. m.,2021/11/22,12:19:59 p. m.,14.19,4.85,135.3,308.3,691,550,1.4,0.346,0.34,0.0,10.801,54.9,4.11,
11/22/2021 12:20:04 p. m.,2021/11/22,12:20:04 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.801,54.8,4.09,
