datetime,Datetime,Temp,pH ,mV[pH],ORP[mV],EC uS/cm,EC Abs uS/cm,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L]
2021-11-22 11:54:07,11/22/2021 12:16:44 p. m.,14.18,4.85,135.3,308.3,697.0,554.0,1.4,0.348,0.34,0.0,10.802999999999999,55.1,4.12
2021-11-22 11:54:12,11/22/2021 12:16:49 p. m.,14.18,4.85,135.3,308.3,696.0,553.0,1.4,0.348,0.34,0.0,10.800999999999998,55.2,4.13
2021-11-22 11:54:17,11/22/2021 12:16:54 p. m.,14.18,4.85,135.3,308.4,696.0,553.0,1.4,0.348,0.34,0.0,10.800999999999998,55.2,4.13
2021-11-22 11:54:22,11/22/2021 12:16:59 p. m.,14.18,4.85,135.3,308.4,696.0,553.0,1.4,0.348,0.34,0.0,10.8,55.1,4.12
2021-11-22 11:54:27,11/22/2021 12:17:04 p. m.,14.18,4.85,135.3,308.4,696.0,553.0,1.4,0.348,0.34,0.0,10.802999999999999,55.0,4.12
2021-11-22 11:54:32,11/22/2021 12:17:09 p. m.,14.18,4.85,135.3,308.4,695.0,552.0,1.4,0.348,0.34,0.0,10.802,54.9,4.11
2021-11-22 11:54:37,11/22/2021 12:17:14 p. m.,14.18,4.85,135.3,308.4,695.0,552.0,1.4,0.348,0.34,0.0,10.804,54.9,4.11
2021-11-22 11:54:42,11/22/2021 12:17:19 p. m.,14.18,4.85,135.3,308.4,695.0,552.0,1.4,0.348,0.34,0.0,10.802999999999999,54.8,4.1
2021-11-22 11:54:47,11/22/2021 12:17:24 p. m.,14.18,4.85,135.3,308.3,695.0,552.0,1.4,0.34700000000000003,0.34,0.0,10.805,54.7,4.09
2021-11-22 11:54:52,11/22/2021 12:17:29 p. m.,14.18,4.85,135.3,308.3,695.0,552.0,1.4,0.34700000000000003,0.34,0.0,10.804,54.5,4.08
2021-11-22 11:54:57,11/22/2021 12:17:34 p. m.,14.18,4.85,135.2,308.3,694.0,552.0,1.4,0.34700000000000003,0.34,0.0,10.802,54.2,4.06
2021-11-22 11:55:02,11/22/2021 12:17:39 p. m.,14.18,4.85,135.4,308.4,694.0,552.0,1.4,0.34700000000000003,0.34,0.0,10.802,54.2,4.05
2021-11-22 11:55:07,11/22/2021 12:17:44 p. m.,14.18,4.85,135.3,308.4,694.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.802,54.4,4.07
2021-11-22 11:55:12,11/22/2021 12:17:49 p. m.,14.18,4.85,135.3,308.4,694.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.802,54.5,4.08
2021-11-22 11:55:17,11/22/2021 12:17:54 p. m.,14.19,4.85,135.4,308.4,694.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.802,54.6,4.09
2021-11-22 11:55:22,11/22/2021 12:17:59 p. m.,14.19,4.85,135.4,308.4,693.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.802999999999999,54.7,4.09
2021-11-22 11:55:27,11/22/2021 12:18:04 p. m.,14.19,4.85,135.4,308.4,693.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.802,54.7,4.09
2021-11-22 11:55:32,11/22/2021 12:18:09 p. m.,14.19,4.84,135.4,308.4,693.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.802,54.8,4.1
2021-11-22 11:55:37,11/22/2021 12:18:14 p. m.,14.19,4.85,135.4,308.4,693.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.804,54.9,4.11
2021-11-22 11:55:42,11/22/2021 12:18:19 p. m.,14.19,4.85,135.4,308.4,693.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.802,55.0,4.11
2021-11-22 11:55:47,11/22/2021 12:18:24 p. m.,14.19,4.85,135.4,308.4,693.0,551.0,1.4,0.34700000000000003,0.34,0.0,10.800999999999998,55.0,4.11
2021-11-22 11:55:52,11/22/2021 12:18:29 p. m.,14.19,4.85,135.4,308.4,693.0,551.0,1.4,0.34600000000000003,0.34,0.0,10.800999999999998,54.9,4.11
2021-11-22 11:55:57,11/22/2021 12:18:34 p. m.,14.19,4.85,135.4,308.4,693.0,550.0,1.4,0.34600000000000003,0.34,0.0,10.802,55.0,4.11
2021-11-22 11:56:02,11/22/2021 12:18:39 p. m.,14.19,4.85,135.3,308.4,693.0,550.0,1.4,0.34600000000000003,0.34,0.0,10.802,55.1,4.12
